Country Name,Month,Year,Growth rate of vaccine,Difference of growth rate to global average
Mauritania,01,2022,0.6406340185588065,-3.2065379324763934
Mauritania,02,2022,0.6287667276403196,-3.21840522339488
Mauritania,03,2022,1.0,-2.8471719510352
Mauritania,04,2022,4.636923901393355,0.7897519503581552
Mauritania,05,2022,1.622149032219993,-2.225022918815207
Mauritania,06,2022,0.12001765274528209,-3.7271542982899177
Mauritania,07,2022,3.9776073144273982,0.1304353633921984
Mauritania,08,2022,0.5383574991637702,-3.3088144518714295
Mauritania,09,2022,0.761407276632146,-3.0857646744030536
Mauritania,10,2022,0.0013744143799598431,-3.84579753665524
Mauritania,11,2022,5871.963963963964,5868.116792012928
Mauritania,12,2022,0.236906755105705,-3.610265195929495
Mauritania,01,2023,0.0,-3.8471719510352
Mauritania,02,2023,,
Mauritania,03,2023,0.23255813953488372,-3.614613811500316
Mauritania,04,2023,0.0,-3.8471719510352
Mauritania,05,2023,,
Mauritania,06,2023,2.142857142857143,-1.704314808178057
Mauritania,07,2023,1.0,-2.8471719510352
Mauritania,08,2023,0.7490057445868317,-3.098166206448368
Mauritania,09,2023,0.036991368680641186,-3.8101805823545587
Mauritania,10,2023,1.0,-2.8471719510352
Mauritania,11,2023,1.0,-2.8471719510352
Mauritius,02,2021,44.18154761904762,40.33437566801242
Mauritius,03,2021,2.908856692531523,-0.9383152585036769
Mauritius,04,2021,0.6823255362515772,-3.1648464147836224
Mauritius,05,2021,2.8043561388213343,-1.0428158122138655
Mauritius,06,2021,2.025094213653945,-1.822077737381255
Mauritius,07,2021,1.1499581824726333,-2.6972137685625666
Mauritius,08,2021,0.8059170757620164,-3.041254875273183
Mauritius,09,2021,0.3588124561103276,-3.488359494924872
Mauritius,10,2021,0.809313902605484,-3.0378580484297157
Mauritius,11,2021,1.5317753093736908,-2.315396641661509
Mauritius,12,2021,0.904807488451877,-2.9423644625833227
Mauritius,01,2022,1.4111136418637096,-2.4360583091714902
Mauritius,02,2022,0.7518703380504018,-3.095301612984798
Mauritius,03,2022,0.39118673880020255,-3.455985212234997
Mauritius,04,2022,1.0,-2.8471719510352
Mauritius,05,2022,0.989321115917839,-2.857850835117361
Mauritius,06,2022,0.24563557738508354,-3.6015363736501165
Mauritius,07,2022,0.5371099240933371,-3.310062026941863
Mauritius,08,2022,0.9758486515497116,-2.8713232994854883
Mauritius,09,2022,1.9252522381696746,-1.9219197128655252
Mauritius,10,2022,1.482861499701651,-2.364310451333549
Mauritius,11,2022,0.06274302721904854,-3.7844289238161513
Mauritius,12,2022,0.6738165680473372,-3.1733553829878627
Mauritius,01,2023,0.795045045045045,-3.052126905990155
Mauritius,02,2023,0.8996865203761756,-2.9474854306590244
Mauritius,03,2023,0.6703470031545742,-3.1768249478806254
Mauritius,04,2023,0.7201946472019465,-3.1269773038332533
Mauritius,05,2023,1.1331168831168832,-2.7140550679183164
Mauritius,06,2023,1.0593471810089021,-2.7878247700262975
Mauritius,07,2023,1.008130081300813,-2.8390418697343867
Mexico,01,2021,9.31932596525561,5.4721540142204095
Mexico,02,2021,2.2790186534835124,-1.5681532975516874
Mexico,03,2021,3.113109470572037,-0.7340624804631628
Mexico,04,2021,2.147307901483956,-1.6998640495512438
Mexico,05,2021,1.1384276482855202,-2.70874430274968
Mexico,06,2021,1.3061735334893456,-2.540998417545854
Mexico,07,2021,1.2216354982847755,-2.625536452750424
Mexico,08,2021,1.0373170068975694,-2.8098549441376304
Mexico,09,2021,0.8207581008514419,-3.026413850183758
Mexico,10,2021,1.2475358199713276,-2.599636131063872
Mexico,11,2021,0.6015491833398167,-3.2456227676953833
Mexico,12,2021,1.3638081199394037,-2.4833638310957964
Mexico,01,2022,0.9438768624094722,-2.9032950886257276
Mexico,02,2022,1.14849579566737,-2.6986761553678296
Mexico,03,2022,0.5811497939273991,-3.266022157107801
Mexico,04,2022,0.8111744180725806,-3.035997532962619
Mexico,05,2022,1.0409818845695762,-2.8061900664656236
Mexico,06,2022,0.16250494871842636,-3.6846670023167736
Mexico,07,2022,0.27475936865351847,-3.5724125823816815
Mexico,08,2022,0.0,-3.8471719510352
Mexico,09,2022,,
Mexico,10,2022,2.5833333333333335,-1.2638386177018663
Mexico,11,2022,,
Moldova,04,2021,2.7272886458589336,-1.1198833051762662
Moldova,05,2021,2.5012059722479907,-1.3459659787872091
Moldova,06,2021,1.2070553180361125,-2.6401166329990873
Moldova,07,2021,0.9885408465429695,-2.8586311044922303
Moldova,08,2021,0.6906003557380289,-3.156571595297171
Moldova,09,2021,0.8266748376026474,-3.0204971134325524
Moldova,10,2021,0.6855252764612955,-3.1616466745739045
Moldova,11,2021,0.9191009469233726,-2.9280710041118274
Moldova,12,2021,1.39214231406927,-2.45502963696593
Moldova,01,2022,1.012788920222439,-2.834383030812761
Moldova,02,2022,0.9915784912065292,-2.8555934598286705
Moldova,03,2022,0.4386703782544621,-3.4085015727807377
Moldova,04,2022,0.34406795777996135,-3.5031039932552384
Moldova,05,2022,0.8187316632814263,-3.0284402877537735
Moldova,06,2022,1.289307109754719,-2.5578648412804807
Moldova,07,2022,1.0451946291668432,-2.801977321868357
Moldova,08,2022,0.9011590209110066,-2.9460129301241933
Moldova,09,2022,0.5549647870901544,-3.2922071639450454
Moldova,10,2022,0.7052398160315374,-3.141932135003662
Moldova,11,2022,1.2490974729241877,-2.598074478111012
Moldova,12,2022,0.8084220268394262,-3.0387499241957734
Moldova,01,2023,0.6369590643274854,-3.2102128867077147
Moldova,02,2023,0.8126022913256956,-3.034569659709504
Moldova,03,2023,0.855819209039548,-2.9913527419956516
Moldova,04,2023,0.53039430449069,-3.3167776465445096
Moldova,05,2023,0.6698588709677419,-3.177313080067458
Moldova,06,2023,0.7254290171606864,-3.1217429338745135
Moldova,07,2023,0.8115183246073299,-3.03565362642787
Moldova,08,2023,0.983225806451613,-2.8639461445835868
Moldova,09,2023,0.6960651289009498,-3.15110682213425
Moldova,10,2023,1.1452830188679246,-2.701888932167275
Moldova,11,2023,1.0169491525423728,-2.830222798492827
Moldova,12,2023,1.0,-2.8471719510352
Monaco,01,2021,2.1451612903225805,-1.7020106607126193
Monaco,02,2021,1.6896551724137931,-2.1575167786214067
Monaco,03,2021,0.6685319289005925,-3.178640022134607
Monaco,04,2021,0.9075702707363339,-2.939601680298866
Monaco,05,2021,1.0089385474860335,-2.8382334035491663
Monaco,06,2021,1.286198456034645,-2.560973495000555
Monaco,07,2021,0.7275709599201255,-3.119600991115074
Monaco,08,2021,1.1292753623188405,-2.7178965887163593
Monaco,09,2021,0.6479427549194992,-3.1992291961157004
Monaco,10,2021,1.2957671957671957,-2.5514047552680044
Monaco,11,2021,1.0,-2.8471719510352
Monaco,12,2021,1.0,-2.8471719510352
Mongolia,03,2021,8.655188240693883,4.808016289658683
Mongolia,04,2021,2.6517056505364986,-1.1954663004987012
Mongolia,05,2021,2.4464352604103374,-1.4007366906248624
Mongolia,06,2021,0.39463206102977655,-3.4525398900054234
Mongolia,07,2021,0.5495076550512307,-3.297664295983969
Mongolia,08,2021,0.47856429019089725,-3.3686076608443027
Mongolia,09,2021,0.31935106059948815,-3.5278208904357116
Mongolia,10,2021,0.2657362574765024,-3.5814356935586975
Mongolia,11,2021,1.0289980092899802,-2.8181739417452194
Mongolia,12,2021,57.15830594654926,53.31113399551406
Mongolia,01,2022,0.12076770674268608,-3.726404244292514
Mongolia,02,2022,0.22383014682581598,-3.623341804209384
Mongolia,03,2022,0.43504209741020994,-3.41212985362499
Mongolia,04,2022,0.7762329485834207,-3.0709390024517793
Mongolia,05,2022,0.9044258144645075,-2.942746136570692
Montenegro,03,2021,2.9412889321468296,-0.9058830188883702
Montenegro,04,2021,2.5282681297709924,-1.3189038212642075
Montenegro,05,2021,3.038620111341455,-0.8085518396937448
Montenegro,06,2021,0.7293748171867543,-3.1177971338484456
Montenegro,07,2021,0.38987819237061194,-3.457293758664588
Montenegro,08,2021,1.708935371133483,-2.138236579901717
Montenegro,09,2021,0.9480941562539442,-2.8990777947812556
Montenegro,10,2021,0.7925855727066836,-3.054586378328516
Montenegro,11,2021,0.6118140777007693,-3.2353578733344306
Montenegro,12,2021,3.4180830500566555,-0.42908890097854435
Montenegro,01,2022,0.23037763161729702,-3.616794319417903
Montenegro,02,2022,0.4576159872402308,-3.389555963794969
Montenegro,03,2022,0.48472298914043804,-3.3624489618947617
Montenegro,04,2022,0.6701030927835051,-3.177068858251695
Montenegro,05,2022,0.627552487776819,-3.2196194632583808
Montenegro,06,2022,0.6537170263788968,-3.193454924656303
Montenegro,07,2022,1.2931526390870185,-2.5540193119481813
Montenegro,08,2022,1.3815833194882872,-2.465588631546913
Montserrat,03,2021,0.6917433329451497,-3.15542861809005
Montserrat,04,2021,0.6598984771573604,-3.1872734738778394
Montserrat,05,2021,0.9236499068901304,-2.9235220441450696
Montserrat,06,2021,0.2630480167014614,-3.5841239343337383
Montserrat,07,2021,1.03125,-2.8159219510352
Montserrat,08,2021,0.4057971014492754,-3.4413748495859244
Montserrat,09,2021,0.8125,-3.0346719510352
Montserrat,10,2021,1.2619047619047619,-2.585267189130438
Montserrat,11,2021,0.88,-2.9671719510352
Montserrat,12,2021,1.6304347826086956,-2.216737168426504
Montserrat,01,2022,9.628205128205128,5.7810331771699275
Montserrat,02,2022,0.41274238227146814,-3.434429568763732
Montserrat,03,2022,0.38650306748466257,-3.4606688835505373
Montserrat,04,2022,0.12295081967213115,-3.724221131363069
Montserrat,05,2022,5.375,1.5278280489648002
Montserrat,06,2022,1.0588235294117647,-2.788348421623435
Montserrat,07,2022,0.6739130434782609,-3.173258907556939
Montserrat,08,2022,0.4838709677419355,-3.3633009832932643
Montserrat,09,2022,1.0714285714285714,-2.775743379606628
Montserrat,10,2022,1.0,-2.8471719510352
Montserrat,11,2022,1.0,-2.8471719510352
Montserrat,12,2022,1.0,-2.8471719510352
Morocco,02,2021,5.025211111111111,1.1780391600759113
Morocco,03,2021,1.3224723535824314,-2.524699597452768
Morocco,04,2021,0.3233957999919694,-3.5237761510432306
Morocco,05,2021,3.112404017750306,-0.734767933284894
Morocco,06,2021,1.1372349449062389,-2.709937006128961
Morocco,07,2021,0.7768724382920683,-3.0702995127431314
Morocco,08,2021,2.3055376804791217,-1.5416342705560782
Morocco,09,2021,0.8526359361998826,-2.994536014835317
Morocco,10,2021,0.7733619477716854,-3.0738100032635143
Morocco,11,2021,0.24088045416482343,-3.6062914968703765
Morocco,12,2021,1.0079797996995625,-2.839192151335637
Morocco,01,2022,1.1620277809695252,-2.6851441700656746
Morocco,02,2022,0.8995529503202323,-2.9476190007149676
Morocco,03,2022,0.3624297541248648,-3.484742196910335
Morocco,04,2022,0.314924952977944,-3.5322469980572557
Morocco,05,2022,1.1692595208828127,-2.677912430152387
Morocco,06,2022,0.6087300431892075,-3.238441907845992
Morocco,07,2022,2.299399387454755,-1.5477725635804447
Morocco,08,2022,0.4373583025792743,-3.4098136484559256
Morocco,09,2022,0.700120564371599,-3.147051386663601
Morocco,10,2022,0.5204150459788205,-3.326756905056379
Morocco,11,2022,0.7117575029457293,-3.1354144480894703
Morocco,12,2022,0.5557038873525952,-3.2914680636826046
Morocco,01,2023,0.7681251811069255,-3.0790467699282744
Morocco,02,2023,0.7225213285844446,-3.1246506224507553
Morocco,03,2023,0.4680016515276631,-3.379170299507537
Morocco,04,2023,0.4211378353376503,-3.4260341156975493
Morocco,05,2023,1.1713081439108837,-2.6758638071243164
Mozambique,04,2021,1.3528569875720136,-2.4943149634631863
Mozambique,05,2021,0.6892663909197922,-3.157905560115408
Mozambique,06,2021,0.5209658595920246,-3.3262060914431753
Mozambique,07,2021,3.4215017064846416,-0.42567024455055824
Mozambique,08,2021,6.880261325000741,3.033089373965541
Mozambique,09,2021,0.8273069081554913,-3.0198650428797085
Mozambique,10,2021,0.9760493716805589,-2.871122579354641
Mozambique,11,2021,3.821523548901912,-0.025648402133287895
Mozambique,12,2021,0.8976083164708342,-2.949563634564366
Mozambique,01,2022,0.98767187071796,-2.8595000803172397
Mozambique,02,2022,0.008233422038654107,-3.838938528996546
Mozambique,03,2022,1.0,-2.8471719510352
Mozambique,04,2022,1.0,-2.8471719510352
Mozambique,05,2022,1.0,-2.8471719510352
Mozambique,06,2022,1.0,-2.8471719510352
Mozambique,07,2022,1.0,-2.8471719510352
Mozambique,08,2022,1.0,-2.8471719510352
Mozambique,09,2022,1.0,-2.8471719510352
Mozambique,10,2022,1.0056327543424317,-2.841539196692768
