Country Name,Month,Source Name (URL,Total Administered Vaccines
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport16thApril2021.pdf,54819745
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport17thApril2021.pdf,57504694
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport18thApril2021.pdf,58734670
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport19thApril2021.pdf,62011217
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport4thApril2021.pdf,13987267
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport5thApril2021.pdf,17993030
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport1stApril2021.pdf,3671242
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thApril2021.pdf,21959578
India,04/2021,http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationcoveragereport3rdApril2021.pdf,10861755
India,04/2021,https://dashboard.cowin.gov.in/,86880211
India,04/2021,https://www.mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport13thApril2021.pdf,46061682
United States,04/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,90714882
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/09de8b7859bc4403bde228a737cfa121.shtml,110227000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/0aee1b23440e42c49df395f5f2900636.shtml,72291000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/0f6e49055a0d404ca88e4d7bea980065.shtml,122581000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/1531d77b498d46eb8853297e8d9c7c84.shtml,14189000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/1d39b2d2ff1a447894d71e7e5b67d847.shtml,62558000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/2636a2e16c6c4fc89e2358bd3898b9ce.shtml,136532000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/2e1664555701455ba9d3b84189f95776.shtml,0
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/36daebf9b3e64743ad0101eb5de99a0e.shtml,296317000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/3d1e04af70e54341a44242c6dc607115.shtml,96504000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/3e082b13ab6442c2a9f3c39a9022498a.shtml,256847000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/41095a9c33f84918bd7c2178b0197d3e.shtml,332585000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/4336f905c94d4e63bbb4e55302214a98.shtml,179105000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/5077e137a981420191949ae0a78b7e07.shtml,212937000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/61ca087702164c328e87f2ed3516a77f.shtml,196292000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/7221884f11274319884d8b117459c980.shtml,226866000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/8902b7eefe21410f80809b69877de220.shtml,350568000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml,276308000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/a5babdbadf2e48348f1d5e053159d891.shtml,37820000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/a7bed5e941be4e679c83bcb4ee5b603b.shtml,4932000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/afbb6bb24f864a7ba1db6614198ed694.shtml,240452000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/b7bc06a552664328970365fb3a735501.shtml,83866000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/beda31b9f97b4c3cae8afba056330f98.shtml,165283000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/c24473c47d174853883263be6224aa08.shtml,313954000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/c953cb843e384c21941d489f6ac66f7f.shtml,19221000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/cd31bab9052a447eae2d1388a9cf601d.shtml,53901000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/d0846315c0eb47398c688460e74a88ee.shtml,368766000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/d6d3f0285aac443492eacb54229e7fbb.shtml,151585000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/dc8199af5c2a49d5a7475f7004ff4901.shtml,47180000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/e129e5425ffb4686b053ddbd550e9305.shtml,27328000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202105/e9af9abc284a41cbb52ea0089c5e8012.shtml,9499000
China,05/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6c7027253d164dd0af5f35e6cfe5876e.shtml,391062000
India,05/2021,https://dashboard.cowin.gov.in/,56823570
Saint Helena,05/2021,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/,2519
United States,05/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,48914987
China,06/2021,http://www.nhc.gov.cn/xcs/s3574/202106/e28487f08ad745c5952356e448a87f13.shtml,183831000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/09dace9cad2a4907be424b0887d1a873.shtml,116411000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/0c0ef78796004b6d8710074d95c41c96.shtml,217055000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/12fa90b8940a454a9ef277fdac7a39d4.shtml,231302000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/193847fa4d304c038fe42e45142c2289.shtml,101597000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/33a723c6caf74dd99c2efa2f8156f72a.shtml,283682000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/361693e0f94b4aee91f87534a6a55c72.shtml,202045000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/37acb04cceb04e4aaae6893a9bad3916.shtml,83015000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/3ff617f188134b1c80a4920b7b25a609.shtml,43358000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/55adb725f1b54665815be7e73e3c83db.shtml,262442000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/5f0a37302be54ec08cc10d37275f2f89.shtml,305184000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/67dc906521854d33966e55e222a60941.shtml,564266000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6a50b63968e84d24aebac02e75626b95.shtml,147494000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6e26629586ef4da184f1e0a8b32761ae.shtml,524319000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/74ed0aa148744960988030bf6a3186da.shtml,545246000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/88f52193e017454797849d2df572201f.shtml,459175000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/90421eab3d8841acad840ef1e48f0d37.shtml,503762000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/94c91da29b1a41fca00ab6bf4b4f32cd.shtml,410315000
