CountryName,ManufacturerName
Bangladesh,Sinopharm/Beijing
Bangladesh,Sinovac
Barbados,Johnson&Johnson
Barbados,Oxford/AstraZeneca
Barbados,Pfizer/BioNTech
Barbados,Sinopharm/Beijing
Belarus,KoviVac/Chumakov
Belarus,Sinopharm/Beijing
Belarus,Sputnik Light
Belarus,Sputnik V
Belgium,Johnson&Johnson
Belgium,Moderna
Belgium,Novavax
Belgium,Oxford/AstraZeneca
Belgium,Pfizer/BioNTech
Belize,Johnson&Johnson
Belize,Oxford/AstraZeneca
Belize,Pfizer/BioNTech
Belize,Sinopharm/Beijing
Benin,Johnson&Johnson
Benin,Oxford/AstraZeneca
Benin,Pfizer/BioNTech
Benin,Sinovac
Bermuda,Oxford/AstraZeneca
Bermuda,Pfizer/BioNTech
Bhutan,Moderna
Bhutan,Oxford/AstraZeneca
Bhutan,Pfizer/BioNTech
Bhutan,Sinopharm/Beijing
Bolivia,Johnson&Johnson
Bolivia,Oxford/AstraZeneca
Bolivia,Pfizer/BioNTech
Bolivia,Sinopharm/Beijing
Bolivia,Sputnik V
Bonaire Sint Eustatius and Saba,Moderna
Bonaire Sint Eustatius and Saba,Pfizer/BioNTech
Bosnia and Herzegovina,Oxford/AstraZeneca
Bosnia and Herzegovina,Pfizer/BioNTech
Bosnia and Herzegovina,Sinovac
Bosnia and Herzegovina,Sputnik V
Botswana,Covaxin
Botswana,Johnson&Johnson
Botswana,Moderna
Botswana,Oxford/AstraZeneca
Botswana,Pfizer/BioNTech
Botswana,Sinovac
Brazil,Johnson&Johnson
Brazil,Oxford/AstraZeneca
Brazil,Pfizer/BioNTech
Brazil,Sinovac
British Virgin Islands,Johnson&Johnson
British Virgin Islands,Oxford/AstraZeneca
Brunei,Johnson&Johnson
Brunei,Moderna
Brunei,Oxford/AstraZeneca
Brunei,Pfizer/BioNTech
Brunei,Sinopharm/Beijing
Bulgaria,Johnson&Johnson
Bulgaria,Moderna
Bulgaria,Oxford/AstraZeneca
Bulgaria,Pfizer/BioNTech
Burkina Faso,Johnson&Johnson
Burkina Faso,Oxford/AstraZeneca
Burkina Faso,Sinopharm/Beijing
Burundi,Johnson&Johnson
Burundi,Sinopharm/Beijing
Cambodia,Johnson&Johnson
Cambodia,Moderna
Cambodia,Oxford/AstraZeneca
Cambodia,Pfizer/BioNTech
Cambodia,Sinopharm/Beijing
Cambodia,Sinovac
Cameroon,Johnson&Johnson
Cameroon,Oxford/AstraZeneca
Cameroon,Pfizer/BioNTech
Cameroon,Sinopharm/Beijing
Canada,Johnson&Johnson
Canada,Medicago
Canada,Moderna
Canada,Novavax
Canada,Oxford/AstraZeneca
Canada,Pfizer/BioNTech
Cape Verde,Moderna
Cape Verde,Oxford/AstraZeneca
Cape Verde,Pfizer/BioNTech
Cape Verde,Sinopharm/Beijing
Cayman Islands,Oxford/AstraZeneca
Cayman Islands,Pfizer/BioNTech
Central African Republic,Covaxin
Central African Republic,Oxford/AstraZeneca
Chad,Sinopharm/Beijing
Chile,CanSino
Chile,Moderna
Chile,Oxford/AstraZeneca
Chile,Pfizer/BioNTech
Chile,Sinovac
China,CanSino
China,IMBCAMS
China,KCONVAC
China,Sinopharm/Beijing
China,Sinopharm/Wuhan
China,Sinovac
China,ZF2001
Colombia,Johnson&Johnson
Colombia,Moderna
Colombia,Oxford/AstraZeneca
Colombia,Pfizer/BioNTech
Colombia,Sinovac
Comoros,Covaxin
Comoros,Oxford/AstraZeneca
Comoros,Sinopharm/Beijing
Congo,Moderna
Congo,Oxford/AstraZeneca
Congo,Sinopharm/Beijing
Congo,Sputnik V
Cook Islands,Pfizer/BioNTech
Costa Rica,Moderna
Costa Rica,Oxford/AstraZeneca
Costa Rica,Pfizer/BioNTech
Cote d'Ivoire,Johnson&Johnson
Cote d'Ivoire,Oxford/AstraZeneca
Cote d'Ivoire,Pfizer/BioNTech
Cote d'Ivoire,Sinopharm/Beijing
Cote d'Ivoire,Sputnik V
Croatia,Johnson&Johnson
Croatia,Moderna
Croatia,Novavax
Croatia,Oxford/AstraZeneca
Croatia,Pfizer/BioNTech
Cuba,Abdala
Cuba,Soberana Plus
Cuba,Soberana02
Curacao,Moderna
Curacao,Oxford/AstraZeneca
Curacao,Pfizer/BioNTech
Cyprus,Johnson&Johnson
Cyprus,Moderna
Cyprus,Novavax
Cyprus,Oxford/AstraZeneca
Cyprus,Pfizer/BioNTech
Czechia,Johnson&Johnson
Czechia,Moderna
Czechia,Novavax
Czechia,Oxford/AstraZeneca
Czechia,Pfizer/BioNTech
Czechia,Sinovac
Democratic Republic of Congo,Oxford/AstraZeneca
Denmark,Johnson&Johnson
Denmark,Moderna
Denmark,Oxford/AstraZeneca
Denmark,Pfizer/BioNTech
Djibouti,CanSino
Djibouti,Covaxin
Djibouti,Johnson&Johnson
Djibouti,Moderna
Djibouti,Oxford/AstraZeneca
Djibouti,Pfizer/BioNTech
Djibouti,Sinopharm/Beijing
Djibouti,Sinovac
Djibouti,Sputnik Light
Djibouti,Sputnik V
Dominica,Moderna
Dominica,Oxford/AstraZeneca
Dominica,Pfizer/BioNTech
Dominica,Sinopharm/Beijing
Dominican Republic,Oxford/AstraZeneca
Dominican Republic,Pfizer/BioNTech
Dominican Republic,Sinopharm/Beijing
Dominican Republic,Sinovac
Ecuador,CanSino
Ecuador,Oxford/AstraZeneca
Ecuador,Pfizer/BioNTech
Ecuador,Sinovac
Egypt,CanSino
Egypt,Covaxin
Egypt,Johnson&Johnson
Egypt,Moderna
Egypt,Oxford/AstraZeneca
Egypt,Pfizer/BioNTech
Egypt,Sinopharm/Beijing
Egypt,Sinovac
Egypt,Sputnik Light
Egypt,Sputnik V
El Salvador,Oxford/AstraZeneca
El Salvador,Pfizer/BioNTech
El Salvador,Sinopharm/Beijing
El Salvador,Sinovac
England,Moderna
England,Oxford/AstraZeneca
England,Pfizer/BioNTech
Equatorial Guinea,Sinopharm/Beijing
Equatorial Guinea,Sinovac
Estonia,Johnson&Johnson
Estonia,Moderna
Estonia,Novavax
Estonia,Oxford/AstraZeneca
Estonia,Pfizer/BioNTech
Eswatini,Johnson&Johnson
Eswatini,Oxford/AstraZeneca
Eswatini,Pfizer/BioNTech
Ethiopia,Covaxin
Ethiopia,Johnson&Johnson
Ethiopia,Oxford/AstraZeneca
Ethiopia,Sinopharm/Beijing
Ethiopia,Sinovac
Faeroe Islands,Moderna
Faeroe Islands,Pfizer/BioNTech
Falkland Islands,Oxford/AstraZeneca
Fiji,Moderna
Fiji,Oxford/AstraZeneca
Fiji,Pfizer/BioNTech
Finland,Moderna
Finland,Oxford/AstraZeneca
Finland,Pfizer/BioNTech
France,Johnson&Johnson
France,Moderna
France,Novavax
France,Oxford/AstraZeneca
France,Pfizer/BioNTech
France,Sanofi/GSK
French Polynesia,Johnson&Johnson
French Polynesia,Pfizer/BioNTech
Gabon,Pfizer/BioNTech
Gabon,Sinopharm/Beijing
Gabon,Sputnik V
Gambia,Johnson&Johnson
Gambia,Oxford/AstraZeneca
Gambia,Sinopharm/Beijing
Georgia,Oxford/AstraZeneca
Georgia,Pfizer/BioNTech
Georgia,Sinopharm/Beijing
Georgia,Sinovac
Germany,Johnson&Johnson
Germany,Moderna
Germany,Novavax
Germany,Oxford/AstraZeneca
Germany,Pfizer/BioNTech
Germany,Valneva
Ghana,Oxford/AstraZeneca
Ghana,Sputnik V
Gibraltar,Oxford/AstraZeneca
Gibraltar,Pfizer/BioNTech
Greece,Johnson&Johnson
Greece,Moderna
Greece,Novavax
Greece,Oxford/AstraZeneca
Greece,Pfizer/BioNTech
Greenland,Moderna
Grenada,Johnson&Johnson
Grenada,Moderna
Grenada,Oxford/AstraZeneca
Grenada,Pfizer/BioNTech
Guatemala,Moderna
Guatemala,Oxford/AstraZeneca
Guatemala,Pfizer/BioNTech
Guatemala,Sputnik V
Guernsey,Moderna
Guernsey,Oxford/AstraZeneca
Guernsey,Pfizer/BioNTech
Guinea,Johnson&Johnson
Guinea,Oxford/AstraZeneca
Guinea,Pfizer/BioNTech
Guinea,Sinopharm/Beijing
Guinea,Sinovac
Guinea,Sputnik V
Guinea-Bissau,Oxford/AstraZeneca
Guinea-Bissau,Sinopharm/Beijing
Guyana,Johnson&Johnson
Guyana,Moderna
Guyana,Oxford/AstraZeneca
Guyana,Pfizer/BioNTech
Guyana,Sinopharm/Beijing
Guyana,Sputnik V
Haiti,Johnson&Johnson
Haiti,Moderna
Honduras,Johnson&Johnson
Honduras,Moderna
Honduras,Oxford/AstraZeneca
Honduras,Pfizer/BioNTech
Honduras,Sputnik V
Hong Kong,Pfizer/BioNTech
Hong Kong,Sinovac
Hungary,Johnson&Johnson
Hungary,Moderna
Hungary,Oxford/AstraZeneca
Hungary,Pfizer/BioNTech
Hungary,Sinopharm/Beijing
Hungary,Sputnik V
Iceland,Johnson&Johnson
Iceland,Moderna
Iceland,Oxford/AstraZeneca
Iceland,Pfizer/BioNTech
India,Corbevax
India,Covaxin
India,Novavax
India,Oxford/AstraZeneca
India,Sputnik V
Indonesia,Johnson&Johnson
Indonesia,Moderna
Indonesia,Novavax
Indonesia,Oxford/AstraZeneca
Indonesia,Pfizer/BioNTech
Indonesia,Sinopharm/Beijing
Indonesia,Sinovac
Iran,COVIran Barekat
Iran,CanSino
Iran,Covaxin
Iran,Johnson&Johnson
Iran,Moderna
Iran,Oxford/AstraZeneca
Iran,Pfizer/BioNTech
Iran,Sinopharm/Beijing
Iran,Sinovac
Iran,Soberana02
Iran,Sputnik Light
Iran,Sputnik V
Iraq,CanSino
Iraq,Covaxin
Iraq,Johnson&Johnson
Iraq,Moderna
Iraq,Oxford/AstraZeneca
Iraq,Pfizer/BioNTech
Iraq,Sinopharm/Beijing
Iraq,Sinovac
Iraq,Sputnik Light
Iraq,Sputnik V
Ireland,Johnson&Johnson
Ireland,Moderna
Ireland,Novavax
Ireland,Oxford/AstraZeneca
Ireland,Pfizer/BioNTech
Isle of Man,Moderna
Isle of Man,Oxford/AstraZeneca
Isle of Man,Pfizer/BioNTech
Israel,Moderna
Israel,Pfizer/BioNTech
Italy,Johnson&Johnson
Italy,Moderna
Italy,Novavax
Italy,Oxford/AstraZeneca
Italy,Pfizer/BioNTech
Italy,Sanofi/GSK
Jamaica,Johnson&Johnson
Jamaica,Moderna
Jamaica,Oxford/AstraZeneca
Jamaica,Pfizer/BioNTech
Japan,Moderna
Japan,Novavax
Japan,Oxford/AstraZeneca
Japan,Pfizer/BioNTech
Jersey,Moderna
Jersey,Oxford/AstraZeneca
Jersey,Pfizer/BioNTech
Jordan,CanSino
Jordan,Covaxin
Jordan,Johnson&Johnson
Jordan,Moderna
Jordan,Oxford/AstraZeneca
Jordan,Pfizer/BioNTech
Jordan,Sinopharm/Beijing
Jordan,Sinovac
Jordan,Sputnik Light
Jordan,Sputnik V
Kazakhstan,Pfizer/BioNTech
Kazakhstan,QazVac
Kazakhstan,Sinopharm/Beijing
Kazakhstan,Sinovac
Kazakhstan,Sputnik V
Kenya,Johnson&Johnson
Kenya,Moderna
Kenya,Oxford/AstraZeneca
Kenya,Pfizer/BioNTech
Kenya,Sinopharm/Beijing
Kiribati,Oxford/AstraZeneca
Kosovo,Oxford/AstraZeneca
Kosovo,Pfizer/BioNTech
Kuwait,CanSino
Kuwait,Covaxin
Kuwait,Johnson&Johnson
Kuwait,Moderna
Kuwait,Oxford/AstraZeneca
Kuwait,Pfizer/BioNTech
Kuwait,Sinopharm/Beijing
Kuwait,Sinovac
Kuwait,Sputnik Light
Kuwait,Sputnik V
Kyrgyzstan,Sinopharm/Beijing
Kyrgyzstan,Sputnik V
Laos,Johnson&Johnson
Laos,Oxford/AstraZeneca
Laos,Pfizer/BioNTech
Laos,Sinopharm/Beijing
Laos,Sinovac
Laos,Sputnik Light
Laos,Sputnik V
Latvia,Johnson&Johnson
Latvia,Moderna
Latvia,Novavax
Latvia,Oxford/AstraZeneca
Latvia,Pfizer/BioNTech
Lebanon,CanSino
Lebanon,Covaxin
Lebanon,Johnson&Johnson
Lebanon,Moderna
Lebanon,Oxford/AstraZeneca
Lebanon,Pfizer/BioNTech
Lebanon,Sinopharm/Beijing
Lebanon,Sinovac
Lebanon,Sputnik Light
Lebanon,Sputnik V
Lesotho,Johnson&Johnson
Lesotho,Oxford/AstraZeneca
Lesotho,Sinopharm/Beijing
Liberia,Oxford/AstraZeneca
Libya,CanSino
Libya,Covaxin
Libya,Johnson&Johnson
Libya,Moderna
Libya,Oxford/AstraZeneca
Libya,Pfizer/BioNTech
Libya,Sinopharm/Beijing
Libya,Sinovac
Libya,Sputnik Light
Libya,Sputnik V
Liechtenstein,Johnson&Johnson
Liechtenstein,Moderna
Liechtenstein,Novavax
Liechtenstein,Pfizer/BioNTech
Lithuania,Johnson&Johnson
Lithuania,Moderna
Lithuania,Novavax
Lithuania,Oxford/AstraZeneca
Lithuania,Pfizer/BioNTech
Luxembourg,Johnson&Johnson
Luxembourg,Moderna
Luxembourg,Novavax
Luxembourg,Oxford/AstraZeneca
Luxembourg,Pfizer/BioNTech
Macao,Pfizer/BioNTech
Macao,Sinopharm/Beijing
Madagascar,Johnson&Johnson
Madagascar,Oxford/AstraZeneca
Madagascar,Sinopharm/Beijing
Malawi,Johnson&Johnson
Malawi,Oxford/AstraZeneca
Malaysia,CanSino
Malaysia,Oxford/AstraZeneca
Malaysia,Pfizer/BioNTech
Malaysia,Sinopharm/Beijing
Malaysia,Sinovac
Maldives,Johnson&Johnson
Maldives,Moderna
Maldives,Oxford/AstraZeneca
Maldives,Pfizer/BioNTech
Maldives,Sinopharm/Beijing
Maldives,Sinovac
Maldives,Sputnik V
Mali,Oxford/AstraZeneca
Malta,Johnson&Johnson
Malta,Moderna
Malta,Oxford/AstraZeneca
Malta,Pfizer/BioNTech
Mauritania,Oxford/AstraZeneca
Mauritania,Sinopharm/Beijing
Mauritius,Covaxin
Mauritius,Oxford/AstraZeneca
Mauritius,Sinopharm/Beijing
Mexico,CanSino
Mexico,Johnson&Johnson
Mexico,Moderna
Mexico,Oxford/AstraZeneca
Mexico,Pfizer/BioNTech
Mexico,Sinovac
Mexico,Sputnik V
Moldova,Johnson&Johnson
Moldova,Moderna
Moldova,Oxford/AstraZeneca
Moldova,Pfizer/BioNTech
Moldova,Sinopharm/Beijing
Moldova,Sinovac
Moldova,Sputnik V
Monaco,Pfizer/BioNTech
Mongolia,Oxford/AstraZeneca
Mongolia,Pfizer/BioNTech
Mongolia,Sinopharm/Beijing
Mongolia,Sputnik V
Montenegro,Oxford/AstraZeneca
Montenegro,Pfizer/BioNTech
Montenegro,Sinopharm/Beijing
Montenegro,Sputnik V
Montserrat,Oxford/AstraZeneca
Morocco,CanSino
Morocco,Covaxin
Morocco,Johnson&Johnson
Morocco,Moderna
Morocco,Oxford/AstraZeneca
Morocco,Pfizer/BioNTech
Morocco,Sinopharm/Beijing
Morocco,Sinovac
Morocco,Sputnik Light
Morocco,Sputnik V
Mozambique,Johnson&Johnson
Mozambique,Oxford/AstraZeneca
Mozambique,Sinopharm/Beijing
Myanmar,Oxford/AstraZeneca
Myanmar,Sinopharm/Beijing
Namibia,Johnson&Johnson
Namibia,Oxford/AstraZeneca
Namibia,Pfizer/BioNTech
Namibia,Sinopharm/Beijing
Nauru,Oxford/AstraZeneca
Nepal,Covaxin
Nepal,Johnson&Johnson
Nepal,Moderna
Nepal,Oxford/AstraZeneca
Nepal,Pfizer/BioNTech
Nepal,Sinopharm/Beijing
Nepal,Sputnik V
Netherlands,Johnson&Johnson
Netherlands,Moderna
Netherlands,Novavax
Netherlands,Oxford/AstraZeneca
Netherlands,Pfizer/BioNTech
New Caledonia,Pfizer/BioNTech
New Zealand,Novavax
New Zealand,Oxford/AstraZeneca
New Zealand,Pfizer/BioNTech
Nicaragua,Abdala
Nicaragua,Johnson&Johnson
Nicaragua,Moderna
Nicaragua,Oxford/AstraZeneca
Nicaragua,Pfizer/BioNTech
Nicaragua,Sinopharm/Beijing
Nicaragua,Soberana02
Nicaragua,Sputnik Light
Nicaragua,Sputnik V
Niger,Oxford/AstraZeneca
Niger,Sinopharm/Beijing
Nigeria,Oxford/AstraZeneca
Niue,Pfizer/BioNTech
North Macedonia,Moderna
North Macedonia,Oxford/AstraZeneca
North Macedonia,Pfizer/BioNTech
North Macedonia,Sinopharm/Beijing
North Macedonia,Sinopharm/Wuhan
North Macedonia,Sinovac
North Macedonia,Sputnik V
Northern Cyprus,Oxford/AstraZeneca
Northern Cyprus,Pfizer/BioNTech
Northern Cyprus,Sinovac
Northern Ireland,Moderna
Northern Ireland,Oxford/AstraZeneca
Northern Ireland,Pfizer/BioNTech
Norway,Moderna
Norway,Pfizer/BioNTech
Oman,CanSino
Oman,Covaxin
Oman,Johnson&Johnson
Oman,Moderna
Oman,Oxford/AstraZeneca
Oman,Pfizer/BioNTech
Oman,Sinopharm/Beijing
Oman,Sinovac
Oman,Sputnik Light
Oman,Sputnik V
Pakistan,CanSino
Pakistan,Covaxin
Pakistan,Johnson&Johnson
Pakistan,Moderna
Pakistan,Oxford/AstraZeneca
Pakistan,Pfizer/BioNTech
Pakistan,Sinopharm/Beijing
Pakistan,Sinovac
Pakistan,Sputnik Light
Pakistan,Sputnik V
Palestine,CanSino
Palestine,Covaxin
Palestine,Johnson&Johnson
Palestine,Moderna
Palestine,Oxford/AstraZeneca
Palestine,Pfizer/BioNTech
Palestine,Sinopharm/Beijing
Palestine,Sinovac
Palestine,Sputnik Light
Palestine,Sputnik V
Panama,Oxford/AstraZeneca
Panama,Pfizer/BioNTech
Papua New Guinea,Oxford/AstraZeneca
Paraguay,Covaxin
Paraguay,Moderna
Paraguay,Oxford/AstraZeneca
Paraguay,Pfizer/BioNTech
Paraguay,Sinopharm/Beijing
Paraguay,Sinovac
Paraguay,Sputnik V
Peru,Moderna
Peru,Oxford/AstraZeneca
Peru,Pfizer/BioNTech
Peru,Sinopharm/Beijing
Philippines,Covaxin
Philippines,Johnson&Johnson
Philippines,Moderna
Philippines,Novavax
Philippines,Oxford/AstraZeneca
Philippines,Pfizer/BioNTech
Philippines,Sinopharm/Beijing
Philippines,Sinovac
Philippines,Sputnik Light
Philippines,Sputnik V
Pitcairn,Oxford/AstraZeneca
Poland,Johnson&Johnson
Poland,Moderna
Poland,Novavax
Poland,Oxford/AstraZeneca
Poland,Pfizer/BioNTech
Portugal,Covaxin
Portugal,Johnson&Johnson
Portugal,Moderna
Portugal,Novavax
Portugal,Oxford/AstraZeneca
Portugal,Pfizer/BioNTech
Portugal,Sanofi/GSK
Portugal,Sinopharm/Beijing
Portugal,Sinovac
Qatar,CanSino
Qatar,Covaxin
Qatar,Johnson&Johnson
Qatar,Moderna
Qatar,Oxford/AstraZeneca
Qatar,Pfizer/BioNTech
Qatar,Sinopharm/Beijing
Qatar,Sinovac
Qatar,Sputnik Light
Qatar,Sputnik V
Romania,Johnson&Johnson
Romania,Moderna
Romania,Oxford/AstraZeneca
Romania,Pfizer/BioNTech
Russia,EpiVacCorona
Russia,Sputnik V
Rwanda,Johnson&Johnson
Rwanda,Moderna
Rwanda,Oxford/AstraZeneca
Rwanda,Pfizer/BioNTech
Rwanda,Sinopharm/Beijing
Rwanda,Sinovac
Rwanda,Sputnik V
Saint Helena,Oxford/AstraZeneca
Saint Kitts and Nevis,Oxford/AstraZeneca
Saint Kitts and Nevis,Pfizer/BioNTech
Saint Lucia,Johnson&Johnson
Saint Lucia,Moderna
Saint Lucia,Oxford/AstraZeneca
Saint Lucia,Pfizer/BioNTech
Saint Vincent and the Grenadines,Oxford/AstraZeneca
Saint Vincent and the Grenadines,Pfizer/BioNTech
Saint Vincent and the Grenadines,Sputnik Light
Saint Vincent and the Grenadines,Sputnik V
Samoa,Oxford/AstraZeneca
San Marino,Pfizer/BioNTech
San Marino,Sputnik V
Sao Tome and Principe,Oxford/AstraZeneca
Saudi Arabia,Oxford/AstraZeneca
Saudi Arabia,Pfizer/BioNTech
Scotland,Moderna
Scotland,Oxford/AstraZeneca
Scotland,Pfizer/BioNTech
Senegal,Johnson&Johnson
Senegal,Oxford/AstraZeneca
Senegal,Sinopharm/Beijing
Serbia,Oxford/AstraZeneca
Serbia,Pfizer/BioNTech
Serbia,Sinopharm/Beijing
Serbia,Sputnik V
Seychelles,Oxford/AstraZeneca
Seychelles,Sinopharm/Beijing
Seychelles,Sputnik V
Sierra Leone,Oxford/AstraZeneca
Sierra Leone,Sinopharm/Beijing
Singapore,Moderna
Singapore,Novavax
Singapore,Pfizer/BioNTech
Singapore,Sinopharm/Beijing
Singapore,Sinovac
Sint Maarten (Dutch part),Moderna
Sint Maarten (Dutch part),Oxford/AstraZeneca
Sint Maarten (Dutch part),Pfizer/BioNTech
Slovakia,Johnson&Johnson
Slovakia,Moderna
Slovakia,Novavax
Slovakia,Oxford/AstraZeneca
Slovakia,Pfizer/BioNTech
Slovakia,Sputnik V
Slovenia,Johnson&Johnson
Slovenia,Moderna
Slovenia,Novavax
Slovenia,Oxford/AstraZeneca
Slovenia,Pfizer/BioNTech
Solomon Islands,Oxford/AstraZeneca
Somalia,CanSino
Somalia,Covaxin
Somalia,Johnson&Johnson
Somalia,Moderna
Somalia,Oxford/AstraZeneca
Somalia,Pfizer/BioNTech
Somalia,Sinopharm/Beijing
Somalia,Sinovac
Somalia,Sputnik Light
Somalia,Sputnik V
South Africa,Johnson&Johnson
South Africa,Pfizer/BioNTech
South Korea,Johnson&Johnson
South Korea,Moderna
South Korea,Novavax
South Korea,Oxford/AstraZeneca
South Korea,Pfizer/BioNTech
South Sudan,Johnson&Johnson
South Sudan,Oxford/AstraZeneca
Spain,Johnson&Johnson
Spain,Moderna
Spain,Oxford/AstraZeneca
Spain,Pfizer/BioNTech
Sri Lanka,Moderna
Sri Lanka,Oxford/AstraZeneca
Sri Lanka,Pfizer/BioNTech
Sri Lanka,Sinopharm/Beijing
Sri Lanka,Sputnik V
Sudan,CanSino
Sudan,Covaxin
Sudan,Johnson&Johnson
Sudan,Moderna
Sudan,Oxford/AstraZeneca
Sudan,Pfizer/BioNTech
Sudan,Sinopharm/Beijing
Sudan,Sinovac
Sudan,Sputnik Light
Sudan,Sputnik V
Suriname,Oxford/AstraZeneca
Suriname,Pfizer/BioNTech
Suriname,Sinopharm/Beijing
Sweden,Moderna
Sweden,Novavax
Sweden,Oxford/AstraZeneca
Sweden,Pfizer/BioNTech
Switzerland,Johnson&Johnson
Switzerland,Moderna
Switzerland,Novavax
Switzerland,Pfizer/BioNTech
Syria,CanSino
Syria,Covaxin
Syria,Johnson&Johnson
Syria,Moderna
Syria,Oxford/AstraZeneca
Syria,Pfizer/BioNTech
Syria,Sinopharm/Beijing
Syria,Sinovac
Syria,Sputnik Light
Syria,Sputnik V
Taiwan,Medigen
Taiwan,Moderna
Taiwan,Novavax
Taiwan,Oxford/AstraZeneca
Taiwan,Pfizer/BioNTech
Tajikistan,Moderna
Tajikistan,Oxford/AstraZeneca
Tajikistan,Pfizer/BioNTech
Tajikistan,Sinovac
Tajikistan,Sputnik V
Tanzania,Johnson&Johnson
Tanzania,Pfizer/BioNTech
Tanzania,Sinopharm/Beijing
Thailand,Moderna
Thailand,Oxford/AstraZeneca
Thailand,Pfizer/BioNTech
Thailand,Sinopharm/Beijing
Thailand,Sinovac
Timor,Oxford/AstraZeneca
Timor,Pfizer/BioNTech
Timor,Sinovac
Togo,Oxford/AstraZeneca
Tokelau,Pfizer/BioNTech
Tonga,Oxford/AstraZeneca
Trinidad and Tobago,Johnson&Johnson
Trinidad and Tobago,Oxford/AstraZeneca
Trinidad and Tobago,Pfizer/BioNTech
Trinidad and Tobago,Sinopharm/Beijing
Tunisia,CanSino
Tunisia,Covaxin
Tunisia,Johnson&Johnson
Tunisia,Moderna
Tunisia,Oxford/AstraZeneca
Tunisia,Pfizer/BioNTech
Tunisia,Sinopharm/Beijing
Tunisia,Sinovac
Tunisia,Sputnik Light
Tunisia,Sputnik V
Turkey,Pfizer/BioNTech
Turkey,Sinovac
Turkey,Turkovac
Turkmenistan,EpiVacCorona
Turkmenistan,Oxford/AstraZeneca
Turkmenistan,QazVac
Turkmenistan,Sinopharm/Beijing
Turkmenistan,Sputnik V
Turkmenistan,ZF2001
Turks and Caicos Islands,Pfizer/BioNTech
Tuvalu,Oxford/AstraZeneca
Uganda,Johnson&Johnson
Uganda,Moderna
Uganda,Oxford/AstraZeneca
Uganda,Pfizer/BioNTech
Uganda,Sinovac
Ukraine,Johnson&Johnson
Ukraine,Moderna
Ukraine,Oxford/AstraZeneca
Ukraine,Pfizer/BioNTech
Ukraine,Sinovac
United Arab Emirates,CanSino
United Arab Emirates,Covaxin
United Arab Emirates,Johnson&Johnson
United Arab Emirates,Moderna
United Arab Emirates,Oxford/AstraZeneca
United Arab Emirates,Pfizer/BioNTech
United Arab Emirates,Sinopharm/Beijing
United Arab Emirates,Sinovac
United Arab Emirates,Sputnik Light
United Arab Emirates,Sputnik V
United Kingdom,Moderna
United Kingdom,Oxford/AstraZeneca
United Kingdom,Pfizer/BioNTech
United States,Johnson&Johnson
United States,Moderna
United States,Novavax
United States,Pfizer/BioNTech
Uruguay,Oxford/AstraZeneca
Uruguay,Pfizer/BioNTech
Uruguay,Sinovac
Uzbekistan,Johnson&Johnson
Uzbekistan,Moderna
Uzbekistan,Oxford/AstraZeneca
Uzbekistan,Pfizer/BioNTech
Uzbekistan,Sinovac
